Base location,Destination,Mode of transport,CO2 Emission (in Kg)
Germany,Canada,Air,22.62017451
Belgium,Italy,Train,1614.630237
Germany,Canada,Sea,579.8910683
China,Australia,Train,2820.524742
Germany,London,Air,1.604847403
USA,Italy,Sea,159.8814357
Japan,Brazil,Sea,296.192543
Belgium,London,Air,21.44494125
Japan,Canada,Sea,330.738662
USA,London,Train,4587.585507
USA,Australia,Train,3836.914983
USA,Canada,Train,5597.992687
China,London,Air,11.26483106
USA,Italy,Sea,35.24592173
China,London,Train,551.4638903
USA,Australia,Sea,60.61309463
Belgium,London,Sea,1521.014229
USA,Brazil,Sea,81.93183573
China,Italy,Air,38.32747638
China,Australia,Air,16.93243058
Japan,Canada,Air,10.85827281
Japan,London,Air,5.214498357
China,Italy,Sea,96.85081256
Germany,Canada,Train,820.4122359
Belgium,Australia,Train,1004.87291
China,Brazil,Sea,414.4390739
Germany,Italy,Sea,172.0560884
USA,Italy,Sea,884.3210074
Japan,Brazil,Air,26.44780576
Japan,Canada,Train,1609.395214
Japan,London,Air,8.533412247
Germany,Brazil,Sea,457.2969143
Belgium,Italy,Air,3.477180693
Germany,London,Sea,297.8287243
Germany,Brazil,Sea,434.4310709
Germany,Canada,Train,2893.775721
China,Italy,Air,11.43175454
China,Brazil,Train,622.866575
China,Italy,Train,2366.765761
China,Canada,Sea,104.0252332
Germany,Brazil,Train,2121.57462
USA,Australia,Train,1138.061115
Belgium,Brazil,Train,5184.288303
USA,Australia,Air,11.41761252
Germany,Australia,Train,4554.098812
Belgium,Australia,Air,22.4581186
Germany,Canada,Train,840.1201548
Germany,Italy,Train,2276.401662
Japan,Canada,Train,744.2183319
USA,Australia,Train,4045.85089
Japan,London,Sea,343.2017415
Germany,London,Sea,161.1037212
Belgium,Brazil,Train,6937.598703
USA,Brazil,Sea,161.7491714
Japan,Italy,Train,6671.10941
Japan,Italy,Sea,50.96461931
USA,Italy,Air,8.110009528
China,Canada,Sea,24.21278088
USA,Australia,Sea,666.2060604
Japan,Brazil,Train,700.4273372
Japan,Italy,Air,42.7156166
Germany,London,Sea,141.3372303
China,Italy,Sea,165.3990842
China,Australia,Air,4.320371988
Germany,Canada,Sea,102.0393653
China,Australia,Train,1296.907469
Germany,Brazil,Air,6.556109529
USA,Brazil,Train,519.9016605
USA,Australia,Train,528.9455002
USA,Australia,Air,6.058023524
Belgium,Italy,Train,3785.018208
Germany,Italy,Air,6.398017205
China,Canada,Sea,584.9715598
Japan,London,Sea,262.3171694
Germany,Brazil,Sea,271.6562577
China,Italy,Train,1297.440268
Germany,Brazil,Sea,153.8950953
USA,Italy,Train,1094.068734
China,Italy,Train,1072.25689
China,Canada,Air,3.750000655
Germany,Italy,Air,11.60128036
USA,Canada,Train,1402.232267
Belgium,Italy,Sea,58.02592176
Germany,Brazil,Train,4884.837268
USA,Italy,Train,1574.917357
China,Australia,Air,11.39417717
Japan,Canada,Train,1359.653634
USA,Canada,Train,1603.890777
Belgium,London,Train,395.740982
Japan,Brazil,Sea,227.0255062
China,London,Sea,839.4259385
China,Italy,Train,1679.36182
Japan,London,Train,1048.645473
Belgium,Brazil,Air,10.02879212
Japan,Australia,Sea,89.10551064
USA,Australia,Air,18.50567691
Japan,Brazil,Sea,53.51027502
Germany,London,Air,6.123127481
Germany,Australia,Train,519.4288929
Japan,Australia,Sea,525.0024224
Japan,Brazil,Sea,177.5536611
China,Australia,Sea,49.04023267
USA,London,Train,393.3629484
China,Italy,Sea,568.57757
Japan,London,Sea,222.6606451
Belgium,London,Air,15.50927758
Belgium,Italy,Train,554.9424351
USA,Brazil,Train,2595.30079
China,Brazil,Train,878.1451278
USA,Australia,Sea,161.7772692
USA,Italy,Sea,400.5018011
Japan,London,Air,2.672487095
Japan,Canada,Train,1365.029117
USA,Italy,Air,44.87441426
Belgium,London,Train,163.9787511
Japan,Australia,Sea,278.4903148
Germany,Canada,Sea,483.5110831
Belgium,Australia,Air,12.26053272
Japan,Brazil,Air,26.39923697
Germany,Italy,Air,2.109482438
Belgium,London,Air,6.583904859
Japan,Australia,Sea,60.66038161
Belgium,Italy,Train,2930.39832
Germany,Brazil,Air,17.21620873
Belgium,Brazil,Sea,123.2259527
Japan,Brazil,Air,19.03631015
China,Australia,Air,1.054006103
USA,Canada,Sea,362.0536206
USA,Brazil,Sea,173.855561
Germany,Brazil,Sea,159.4119684
Belgium,Australia,Air,10.10270918
Japan,Italy,Sea,92.12908879
China,Italy,Train,1858.68322
Japan,London,Sea,117.7833396
Japan,London,Train,1156.324529
China,Canada,Train,4012.112166
Japan,Italy,Sea,60.82309752
Belgium,London,Train,3678.501613
Japan,London,Air,5.034067732
Germany,Italy,Air,7.319938708
USA,Italy,Sea,534.3466565
USA,Italy,Air,14.52584081
Belgium,Australia,Air,34.80882348
Belgium,Brazil,Air,6.010727252
Germany,Brazil,Sea,39.1411196
USA,Brazil,Sea,300.0468612
USA,London,Sea,69.33813049
Japan,Australia,Train,3078.620058
USA,Canada,Air,6.324372422
Germany,Australia,Air,1.499611426
Germany,Canada,Air,10.728036
Japan,London,Sea,341.2780772
Belgium,Canada,Train,585.9694791
USA,Canada,Sea,269.7065624
Belgium,London,Air,17.3467045
Germany,Canada,Air,8.060532543
China,Canada,Train,2888.267881
USA,Brazil,Sea,79.43512462
China,London,Sea,510.6069405
USA,Italy,Sea,494.1671197
China,Italy,Air,28.86405217
Belgium,Australia,Sea,562.4912185
Japan,Australia,Train,1818.55131
Germany,Canada,Sea,422.4420842
China,Canada,Sea,261.0941932
USA,Canada,Train,3125.308597
Japan,London,Air,5.603394652
Japan,Brazil,Air,20.92354979
USA,London,Air,54.48813454
Japan,Brazil,Air,4.997412583
Japan,Canada,Train,1030.881723
Japan,London,Sea,384.9818727
USA,Australia,Air,9.11132387
Germany,Australia,Sea,402.1777862
Japan,London,Train,716.7966499
Belgium,Brazil,Train,930.0529473
Japan,London,Air,14.93278227
Germany,Italy,Air,24.12786599
USA,Canada,Air,36.76283932
Germany,Australia,Air,2.645715683
Germany,Canada,Air,11.16366017
Belgium,Italy,Air,3.68329894
USA,Italy,Air,38.56487872
Germany,London,Train,844.7461929
Japan,Canada,Sea,209.2600891
Germany,Brazil,Train,827.5047714
China,Canada,Sea,259.1265766
China,Brazil,Sea,486.3993956
Germany,Canada,Sea,270.5186766
Belgium,Australia,Train,2654.194676
China,Italy,Sea,615.765983
Germany,Australia,Sea,44.12548715
Belgium,Canada,Sea,78.2731351
USA,Australia,Sea,38.71900848
USA,Australia,Sea,91.85411239
Belgium,Brazil,Air,6.907708609
Belgium,Italy,Air,15.95683818
Belgium,London,Train,3095.883978
USA,Brazil,Air,14.52978133
Japan,London,Train,3323.339152
Germany,Australia,Sea,154.9877966
USA,Australia,Air,7.172342899
Belgium,London,Sea,746.8470991
Belgium,London,Sea,37.16984038
China,London,Sea,398.3479328
Japan,Australia,Sea,266.7716901
Belgium,London,Sea,598.2789613
Japan,London,Sea,213.9354651
Germany,Australia,Sea,1908.0685
Japan,Australia,Sea,772.7242438
China,Italy,Sea,192.8494286
China,London,Sea,535.9810291
Japan,Brazil,Train,4979.313273
USA,London,Train,1030.065579
China,Italy,Train,513.7596167
Germany,Australia,Air,5.306661816
China,London,Sea,76.50478937
USA,Australia,Sea,116.6289833
Belgium,Canada,Sea,96.90982658
Japan,Brazil,Train,1741.946167
USA,Canada,Train,279.6772932
Germany,Italy,Sea,9.715650506
Germany,Australia,Air,20.94063863
Belgium,Brazil,Air,15.78280355
Japan,Brazil,Train,4526.299435
Germany,London,Air,29.91351499
Japan,Australia,Sea,98.80196951
Belgium,Canada,Air,15.5005351
Germany,Canada,Sea,196.3132536
Japan,Canada,Sea,74.49581026
China,Australia,Air,26.81101164
USA,Canada,Sea,368.7441105
Belgium,Italy,Train,1242.286528
China,Australia,Air,12.48905482
China,Canada,Sea,120.409183
Germany,Australia,Train,1505.081923
Japan,Canada,Air,9.512765574
Japan,Italy,Sea,1077.630766
USA,Italy,Sea,164.0763477
China,London,Train,1037.602415
China,Australia,Air,4.641934154
China,Canada,Train,2668.916934
Japan,Brazil,Train,2254.740967
Japan,Canada,Sea,386.0606292
China,Australia,Train,962.4389348
China,Canada,Sea,457.7912323
China,London,Train,161.9436346
Japan,Australia,Sea,154.7397423
Germany,London,Air,4.29759672
USA,Italy,Sea,322.6394034
Germany,Australia,Train,4630.014173
USA,Australia,Train,2071.921646
Japan,Italy,Sea,104.9547766
China,Canada,Air,4.219161093
Germany,Brazil,Sea,276.9087906
China,Italy,Air,5.687323918
Belgium,Australia,Train,1119.939792
Belgium,London,Train,1693.601781
Germany,Canada,Air,13.99835083
Belgium,Canada,Air,11.65015435
China,Italy,Sea,188.4110599
USA,London,Sea,629.5800578
Germany,Italy,Train,2188.354761
Belgium,Australia,Train,1097.01817
Belgium,Brazil,Air,4.017448469
China,London,Air,3.138192565
China,Australia,Sea,47.41747629
China,Brazil,Air,31.211058
USA,Australia,Sea,175.5162971
Belgium,London,Train,3270.778417
Germany,Italy,Train,682.9207022
Germany,Australia,Sea,132.0447137
Japan,Italy,Sea,522.7399178
USA,Australia,Air,18.63988974
China,Italy,Air,6.504347413
Japan,Italy,Air,7.899006358
China,Brazil,Train,1382.167147
USA,Italy,Air,4.922611601
USA,Brazil,Train,2653.928528
China,Australia,Train,1608.668476
USA,Canada,Air,7.565437242
USA,Canada,Sea,358.5452974
China,Australia,Sea,305.6269772
USA,London,Sea,711.9121972
China,London,Sea,156.6562674
China,Canada,Sea,80.23154801
China,Italy,Air,29.50333622
Japan,Canada,Train,2729.700067
Japan,Canada,Sea,254.3202037
China,Brazil,Train,7053.766438
Japan,Brazil,Air,17.0849921
China,Australia,Train,1931.347115
Belgium,Canada,Train,2071.722994
USA,Australia,Sea,490.3936829
Japan,Canada,Sea,249.9710719
China,London,Air,10.93620387
Belgium,London,Train,2920.530736
USA,London,Sea,219.0660512
Belgium,Canada,Sea,1216.709594
USA,London,Train,4152.767775
Germany,Australia,Train,729.1649066
Germany,Brazil,Air,12.00166642
Germany,London,Train,1449.999787
Belgium,London,Sea,12.00777194
Japan,Brazil,Air,10.61280826
Japan,London,Air,24.56982629
Belgium,Brazil,Train,1085.196411
USA,London,Air,4.689025245
China,Italy,Train,4467.377384
USA,Italy,Train,3628.793974
China,Brazil,Train,560.8322368
Japan,Brazil,Train,3166.591636
Germany,London,Air,14.02609635
USA,Canada,Train,1663.283777
China,Italy,Sea,584.4447913
USA,London,Train,2585.132837
Japan,London,Air,16.38691676
USA,Australia,Sea,117.4886389
Japan,Italy,Air,25.89011138
China,Australia,Sea,80.23070101
Germany,Canada,Sea,68.58197064
Japan,Australia,Air,4.252402058
Germany,London,Air,8.96457776
USA,London,Train,538.719715
Germany,London,Sea,219.5424366
Japan,Australia,Train,330.4182012
USA,Italy,Air,12.58919436
USA,Brazil,Air,36.92260554
China,Italy,Air,42.58196983
Belgium,London,Sea,158.4599077
Japan,Brazil,Train,573.3232671
Belgium,Brazil,Train,745.5652177
Germany,Canada,Air,0.610617346
Belgium,Brazil,Train,2292.4153
Japan,Italy,Train,4458.001855
USA,Canada,Sea,476.1377253
Japan,Canada,Sea,353.0525771
USA,Australia,Train,1009.315334
Belgium,Australia,Train,5627.744583
Belgium,Brazil,Sea,649.4847127
USA,Brazil,Air,22.20519322
Belgium,Brazil,Sea,844.4828244
Belgium,Australia,Sea,86.96835423
China,Australia,Sea,269.1925998
Belgium,Australia,Air,9.822603219
Belgium,London,Sea,321.824048
China,London,Sea,548.8629505
Germany,Italy,Air,13.88958761
China,Brazil,Sea,619.8759368
Belgium,Brazil,Air,5.672375274
USA,Italy,Air,21.82674085
Japan,Australia,Air,2.245679525
Germany,Italy,Sea,190.6164556
Japan,Brazil,Air,17.94744273
USA,Australia,Train,500.082183
Germany,Canada,Train,504.3409714
Belgium,Canada,Sea,342.2449325
China,London,Air,16.37714201
China,Australia,Train,1448.634606
Japan,Canada,Sea,79.77661888
Germany,Australia,Train,5380.926508
Japan,Australia,Air,2.457062385
USA,London,Train,4344.99095
Germany,Canada,Sea,458.4374601
Germany,Australia,Air,10.71693927
Germany,Brazil,Train,406.3213645
USA,Australia,Sea,217.7574551
Belgium,London,Air,27.73886095
China,Italy,Sea,42.99014155
Belgium,Brazil,Train,6662.234169
USA,Canada,Train,548.7883262
Belgium,Australia,Train,917.8677606
Belgium,London,Sea,162.790711
Japan,Australia,Sea,486.6739141
Germany,Brazil,Train,479.3350427
Belgium,London,Air,4.034100798
China,Canada,Air,21.10742017
China,London,Air,10.17705844
USA,Brazil,Air,12.74113977
USA,London,Air,8.486532906
Belgium,Italy,Sea,735.8494833
China,Canada,Sea,432.0816019
Japan,London,Train,3248.944747
Japan,Australia,Sea,660.8364673
Belgium,Canada,Air,15.74826801
USA,Australia,Air,6.331971331
Germany,Italy,Sea,108.5678733
China,Australia,Air,19.81963855
Japan,Italy,Train,2058.56927
China,Canada,Train,259.79369
Japan,Australia,Air,13.63992442
Germany,Italy,Sea,19.24679104
China,London,Air,10.93460282
China,London,Train,1917.258716
Germany,Italy,Air,3.389979939
Germany,Italy,Sea,148.6145349
China,Italy,Air,11.95895798
China,Italy,Sea,715.5049221
China,London,Sea,300.7688131
USA,Canada,Train,3259.796954
China,Italy,Air,1.397054742
China,Canada,Train,9048.132551
USA,London,Air,16.30640746
USA,Australia,Air,8.50961287
China,Canada,Sea,138.8488032
Germany,Australia,Air,2.362766611
Belgium,Australia,Air,8.223643343
Japan,London,Air,24.66795852
Japan,Italy,Air,26.82585049
Japan,Canada,Train,425.8055152
Belgium,Canada,Train,1225.720627
USA,Brazil,Air,45.12894736
Belgium,Australia,Sea,816.3633289
Germany,London,Air,28.624918
USA,Australia,Sea,91.79687117
Japan,Australia,Train,1717.702332
Japan,Australia,Sea,139.431458
China,Italy,Air,3.291724604
Belgium,Australia,Air,31.26666644
Japan,Canada,Air,6.487491513
China,Canada,Air,5.219589549
China,London,Sea,48.4940573
USA,London,Train,1668.644606
USA,Brazil,Train,2001.433507
Japan,Italy,Air,7.404499579
China,Australia,Air,44.15928817
Belgium,Italy,Sea,370.8253764
USA,Australia,Sea,172.841068
China,Italy,Train,3717.193842
China,Australia,Air,8.605779176
Germany,Canada,Sea,560.3355721
China,London,Sea,290.8329148
Japan,Italy,Air,7.480433464
Germany,Italy,Train,3597.431197
Japan,Australia,Sea,173.6608724
USA,Brazil,Sea,184.8185788
China,Italy,Air,5.029264958
Belgium,Brazil,Sea,105.2593986
China,London,Air,21.76376133
Germany,Canada,Sea,300.4260565
Belgium,London,Sea,378.3535994
Belgium,Brazil,Sea,50.97337768
Belgium,Brazil,Train,520.2832946
China,Australia,Train,6139.023791
Japan,London,Air,17.16617889
Japan,London,Sea,36.49570428
Germany,Brazil,Sea,1071.877049
USA,Italy,Sea,208.4742666
Japan,Brazil,Sea,363.6345079
Japan,Italy,Air,19.50628597
Belgium,Canada,Sea,416.7732786
Belgium,Canada,Train,3175.524223
USA,Canada,Train,1739.821527
Belgium,Australia,Train,6663.623437
USA,Australia,Air,11.01975254
USA,Brazil,Train,4334.525145
USA,Australia,Train,579.5913231
China,Australia,Air,34.22945062
USA,Australia,Air,37.4972033
Japan,Italy,Air,1.06106353
Japan,Italy,Air,28.7776528
USA,Australia,Sea,181.2716698
USA,London,Sea,360.1165812
USA,Australia,Air,2.477995953
USA,Canada,Train,1922.876323
China,London,Train,10383.75313
Germany,Brazil,Air,2.945721249
Germany,Brazil,Sea,67.45750994
China,Brazil,Train,4639.333493
Germany,Canada,Train,503.1662361
USA,Brazil,Train,3708.641417
Germany,Canada,Sea,106.5563264
China,London,Sea,494.7875302
USA,Canada,Sea,411.6416845
Germany,Brazil,Air,0.732291875
Japan,London,Air,17.09423797
USA,London,Train,2267.568033
Belgium,Australia,Air,4.47385936
China,Canada,Air,21.31969834
China,Brazil,Sea,384.1557196
Japan,Italy,Air,11.03577675
China,London,Train,1186.466096
USA,London,Train,1896.689918
Japan,Brazil,Train,332.4987234
Japan,Australia,Air,3.387472029
Japan,Canada,Air,10.15693948
Japan,Brazil,Air,10.40522666
Belgium,Canada,Sea,522.8888288
USA,Italy,Train,6366.181984
Germany,Australia,Sea,160.5825831
Germany,Canada,Air,17.87430876
Germany,Brazil,Air,14.78284528
China,Brazil,Sea,350.8447252
Germany,Brazil,Air,10.94230551
Japan,Italy,Air,6.246935321
China,Brazil,Train,1149.53759
Belgium,Canada,Air,8.456680669
Belgium,Brazil,Train,625.1889071
USA,Australia,Train,285.2500366
USA,Canada,Train,2486.736793
Japan,Australia,Train,555.7080514
China,Australia,Sea,1013.101107
Japan,Canada,Train,7960.234524
Japan,Canada,Train,2118.73742
Belgium,London,Air,6.581133
USA,Brazil,Sea,205.100643
Germany,London,Air,12.89438721
Germany,Canada,Train,268.2111065
China,Canada,Sea,468.0333151
USA,Brazil,Air,4.977452794
China,Australia,Air,16.89296007
China,Brazil,Sea,208.7207835
USA,Brazil,Train,349.6900197
USA,Brazil,Air,31.03243852
Germany,Italy,Sea,361.0242066
Germany,Italy,Sea,145.1033903
USA,Canada,Air,15.52121526
Japan,Brazil,Air,11.1428147
Germany,Italy,Air,20.92674957
USA,Italy,Train,3814.180955
China,Italy,Train,1257.442204
USA,Brazil,Sea,525.4981826
Belgium,Canada,Train,3472.849109
Belgium,Canada,Sea,109.5012131
USA,Canada,Train,2685.681026
USA,Brazil,Air,13.9317577
China,Canada,Air,5.785305383
China,Australia,Air,1.787475465
Germany,Italy,Train,1289.229528
Belgium,Canada,Sea,542.9655129
Germany,Italy,Train,1084.241481
Japan,London,Train,3585.592351
Belgium,Australia,Sea,1202.778907
Germany,Canada,Air,8.647534989
Germany,London,Air,7.729366424
USA,Italy,Sea,578.9902282
USA,London,Train,4655.086682
Belgium,Italy,Sea,688.33676
USA,Brazil,Train,316.8587389
Belgium,Australia,Train,411.9774385
Germany,Italy,Air,8.29869987
China,London,Air,11.11896711
USA,London,Air,15.77347511
Germany,Brazil,Train,732.3484789
USA,Brazil,Air,6.386847238
Germany,Brazil,Air,25.44004833
Japan,London,Sea,245.7316674
Japan,Brazil,Train,1036.984117
Germany,Australia,Sea,430.3627429
Germany,London,Train,2896.80539
Belgium,Brazil,Air,3.471952945
Germany,Canada,Train,944.2844721
Japan,Italy,Train,2138.444557
Belgium,Italy,Air,3.839905026
Germany,Italy,Sea,918.621195
Japan,London,Air,33.79530799
Belgium,Australia,Air,33.25779522
Japan,Brazil,Sea,500.3254185
USA,Italy,Sea,186.0754463
Belgium,London,Train,1760.481848
Germany,Canada,Train,1641.738231
USA,Brazil,Air,8.565263864
Germany,Brazil,Air,27.31630473
Germany,Italy,Train,3529.681492
China,Italy,Air,7.846363112
Germany,Italy,Sea,254.8834287
China,Australia,Train,1553.349375
Germany,London,Air,11.94889526
Japan,Australia,Train,2544.096478
Germany,Italy,Sea,444.745015
China,Australia,Air,2.711402946
Belgium,London,Train,252.4069095
Germany,London,Sea,224.5163282
Germany,Brazil,Train,4662.725803
Japan,London,Sea,664.2111534
Japan,Brazil,Sea,89.66358892
Belgium,Australia,Sea,263.3184115
USA,Brazil,Train,1182.073205
China,Italy,Sea,288.4644981
Germany,Canada,Train,983.5959213
Germany,Australia,Train,2548.752382
Belgium,Italy,Air,13.77921673
Germany,Australia,Air,3.413991412
China,Australia,Train,673.494754
Germany,Australia,Train,1233.444099
China,Italy,Train,5445.114574
China,London,Air,23.43153678
China,Canada,Sea,892.0109467
Belgium,Australia,Sea,423.5812006
China,Italy,Sea,185.1287092
Germany,Italy,Air,2.911728517
China,Canada,Train,2850.085178
Germany,Canada,Sea,693.561338
Belgium,Canada,Train,3405.719818
USA,London,Air,65.86030712
China,Brazil,Train,9665.27399
China,Australia,Sea,367.9033376
Belgium,Australia,Train,3239.152912
USA,Brazil,Sea,236.4927126
China,Canada,Train,5126.62764
China,Italy,Sea,244.2519812
Germany,London,Air,4.822409257
Japan,Australia,Train,323.5314735
China,Australia,Sea,491.9483668
Germany,London,Air,19.94260453
China,Australia,Sea,242.7054728
China,London,Sea,96.24724889
Belgium,Brazil,Sea,517.7328377
Germany,Canada,Air,16.67296029
Germany,Brazil,Air,15.87021305
Belgium,Italy,Train,1771.995771
Belgium,Canada,Train,2160.694958
Belgium,Italy,Train,1889.73997
USA,Canada,Train,2354.751517
USA,London,Sea,388.03082
Germany,Australia,Sea,451.285862
Germany,Brazil,Air,23.37308729
USA,Italy,Air,3.513814645
Germany,Canada,Train,2867.10575
Japan,Canada,Train,1109.051866
Belgium,Australia,Sea,237.6801915
Belgium,London,Train,2325.356757
Germany,Australia,Train,618.3296836
Germany,Italy,Air,1.770766472
Belgium,London,Sea,323.6889661
Japan,Canada,Sea,60.2992682
Belgium,Canada,Train,1460.828749
USA,London,Air,18.34468988
Germany,Italy,Train,962.0788887
USA,Italy,Train,2443.672255
Japan,Australia,Sea,235.7213983
Germany,Canada,Train,869.8467611
USA,Brazil,Train,3723.459496
Japan,Canada,Sea,297.155149
China,Australia,Train,1700.253078
USA,Australia,Sea,208.2046674
Japan,Brazil,Train,2080.76315
Japan,Canada,Train,2687.744473
USA,Canada,Air,2.778133417
Belgium,Australia,Air,10.3713028
USA,London,Air,35.59248293
Germany,Italy,Sea,238.565998
China,Australia,Train,1095.91238
Germany,Brazil,Air,5.202910626
Belgium,Australia,Train,699.2914934
Germany,Canada,Air,5.345512944
USA,Italy,Sea,95.55803426
Japan,Italy,Train,494.1633588
Germany,Canada,Sea,1300.253938
Germany,Italy,Air,0.893305005
China,Canada,Air,3.379584559
China,Italy,Air,14.05919452
Belgium,Canada,Air,11.88128114
Germany,Canada,Sea,48.74973411
USA,Brazil,Train,3441.904039
China,Brazil,Air,19.43753589
USA,Canada,Air,36.83133328
Germany,Canada,Air,37.30361529
Japan,Brazil,Air,17.20320264
Germany,London,Sea,457.8678392
China,Australia,Sea,603.2274551
Germany,London,Air,24.23305776
USA,Canada,Train,1048.977943
USA,Canada,Air,7.369297853
Germany,London,Train,2558.447422
USA,Brazil,Air,16.28454928
Japan,Canada,Train,2165.231176
USA,London,Sea,394.2836567
USA,Canada,Air,25.9048614
Germany,Brazil,Sea,872.6737902
China,Australia,Air,4.050972531
Germany,Canada,Train,3140.335318
USA,Brazil,Train,5995.516682
Japan,Brazil,Air,11.68583982
Belgium,London,Sea,293.0504184
Belgium,Australia,Sea,30.03871257
Belgium,Brazil,Sea,627.8636939
Belgium,London,Sea,60.7228462
China,Australia,Air,3.981596121
Germany,Canada,Sea,46.90676359
Japan,Italy,Air,3.889965834
Germany,Australia,Air,18.20312094
Japan,Canada,Air,33.53361225
Germany,Brazil,Air,17.4541824
China,Italy,Sea,1805.301833
China,London,Train,3830.042464
China,Canada,Sea,367.9931533
USA,Australia,Sea,271.9739485
Belgium,Italy,Sea,48.53962742
China,London,Train,3898.598704
Germany,Australia,Air,5.772200723
Japan,Canada,Train,862.5614584
USA,Australia,Air,10.44230692
USA,Brazil,Train,3014.633876
Belgium,Brazil,Air,4.266962031
China,Italy,Train,4034.14817
Japan,London,Train,3506.626299
Germany,Brazil,Air,5.576943567
USA,Canada,Sea,383.2656
Japan,Canada,Train,4199.668014
Germany,London,Train,1788.654327
China,Australia,Air,20.15872296
Belgium,Italy,Sea,251.0411796
Germany,London,Air,5.126606296
China,Australia,Air,9.456739338
USA,London,Air,34.77788136
China,Brazil,Train,5102.70672
Belgium,London,Train,1322.365634
Germany,Brazil,Train,5278.616953
Japan,Brazil,Air,2.742350394
Germany,Australia,Train,2612.094053
Belgium,London,Air,16.87359438
China,London,Sea,109.5281019
Germany,Canada,Train,522.6534972
Japan,Brazil,Train,1086.021463
Germany,Brazil,Air,3.095021359
Germany,Italy,Sea,213.3530725
Germany,London,Air,1.295981175
China,Canada,Air,25.5337786
China,Italy,Air,19.38103259
USA,Brazil,Train,548.8374292
Germany,Italy,Train,8065.873457
USA,Brazil,Air,51.92151488
Belgium,Brazil,Sea,141.5551485
USA,London,Air,23.06223398
Belgium,Brazil,Air,13.50894365
Germany,Canada,Air,34.14787664
China,Italy,Train,2014.062436
Belgium,Australia,Sea,17.0141604
Japan,Australia,Sea,401.5656556
China,Australia,Air,11.48152404
China,London,Train,161.5548764
Germany,Australia,Sea,173.3565803
USA,London,Sea,770.8264232
China,Canada,Train,1300.897196
China,Brazil,Sea,73.71891395
Germany,London,Air,14.34050181
China,Australia,Train,573.7822397
China,London,Train,874.7966124
Japan,Italy,Sea,166.083989
Japan,London,Air,0.564278788
China,Australia,Train,178.2940602
USA,Australia,Air,5.466513469
USA,Canada,Air,10.37874466
Belgium,Canada,Air,46.98235717
Belgium,London,Train,9967.130902
Germany,Brazil,Sea,393.9294467
China,Canada,Sea,71.27871884
Germany,London,Air,12.94925266
USA,Italy,Sea,272.1172586
Japan,London,Train,482.4654818
Germany,Brazil,Air,2.898049722
China,Australia,Air,3.350335972
China,Australia,Air,4.133742295
Belgium,Brazil,Sea,148.7844546
Belgium,Brazil,Air,5.467298979
China,Canada,Sea,527.6521325
Belgium,Brazil,Air,20.15443704
China,Canada,Sea,41.58998471
Belgium,Brazil,Sea,678.9466456
USA,Australia,Air,11.34819776
China,London,Air,18.76212789
Belgium,Italy,Train,4357.464401
Germany,Australia,Air,16.9678389
Belgium,Canada,Air,5.499658758
China,London,Air,9.097700376
Germany,Brazil,Train,6718.634088
Belgium,London,Train,3541.325432
Germany,London,Air,1.492603427
China,Italy,Air,22.10155962
Belgium,Canada,Train,584.2154916
China,Canada,Air,1.63749561
USA,Brazil,Air,6.164612549
Germany,Australia,Air,26.0791455
Germany,London,Air,6.819573128
China,Australia,Sea,218.4942796
Japan,Brazil,Sea,128.8756797
Belgium,Canada,Sea,68.32887678
Belgium,Italy,Air,13.70045729
China,London,Air,12.76406367
Belgium,London,Train,1000.081279
Belgium,Australia,Sea,935.5875497
Japan,Australia,Sea,91.80445531
Belgium,London,Sea,63.77182222
Belgium,Brazil,Train,5642.917981
Japan,Brazil,Train,924.8512256
Belgium,Brazil,Air,12.21239864
China,Canada,Train,1213.715984
China,Italy,Train,1715.157876
USA,Canada,Air,17.52127407
Belgium,Australia,Sea,619.6320434
Japan,Italy,Sea,338.5347593
Germany,Brazil,Train,6184.125123
USA,Canada,Air,11.0921193
USA,Australia,Sea,546.2001253
Japan,Canada,Train,3771.880392
Belgium,Italy,Sea,259.3566034
China,London,Air,18.1797711
USA,Brazil,Air,4.251645879
China,Canada,Air,9.452759517
China,Brazil,Sea,65.65874644
USA,Italy,Air,13.60682351
Belgium,Canada,Train,1245.812556
Japan,Brazil,Train,877.1434329
China,Australia,Train,631.3451129
Japan,Canada,Air,23.2610114
Germany,Italy,Sea,167.2728556
Germany,Italy,Sea,95.07466685
Belgium,Brazil,Sea,132.9894822
Belgium,Canada,Train,1924.873895
Belgium,Italy,Train,1847.311659
Japan,Brazil,Sea,404.5124258
Japan,London,Sea,336.6710538
Germany,Brazil,Air,0.801656187
China,Italy,Sea,249.262203
USA,Italy,Sea,334.462872
Germany,Italy,Sea,139.4883485
USA,Italy,Train,596.1537786
Japan,Brazil,Sea,1025.588616
Japan,Brazil,Train,3982.472212
China,London,Train,2341.335685
Belgium,London,Air,16.67317628
USA,Brazil,Train,3465.54975
Belgium,Italy,Train,627.7151485
USA,Australia,Train,2639.946981
China,Canada,Train,465.7715914
China,London,Air,2.608923393
Belgium,Australia,Sea,390.3443804
Japan,Canada,Train,932.3990755
Germany,Brazil,Air,3.35967226
China,Italy,Air,3.441562383
Belgium,Italy,Air,11.85325353
Germany,Canada,Train,388.6032152
Germany,Italy,Sea,886.6040268
Belgium,Australia,Sea,73.39119498
Belgium,Italy,Sea,60.85315721
USA,Canada,Sea,238.5524072
USA,Canada,Train,5097.78203
China,Italy,Sea,45.26964153
